STRUCTURE,STRUCTURE_ID,freq,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2008,29.8,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2009,44.5,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2010,46.3,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2011,40.4,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2012,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2013,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2014,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2015,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2016,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2017,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2018,20.2,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2019,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2020,,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2021,32.8,bu
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EE,2022,24.9,u
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,1999,54.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2000,53.2,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2001,48.5,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2002,42.9,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2003,43.4,
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2004,45.1,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2005,45.5,b
dataflow,ESTAT:YTH_EMPL_110(1.0),A,Y15-19,PC,F,EL,2006,41.2,
