CODE	Label - English	Label - French	Label - German	Standard code	Note (EN only)
M35	35 months	35 mois	35 Monate	Y	
M36	36 months	36 mois	36 Monate	Y	
M_GE36	36 months or over	36 mois ou plus	36 Monate und mehr	Y	
M_GT36	Over 36 months	Plus de 36 mois	Mehr als 36 Monate	Y	
M37	37 months	37 mois	37 Monate	Y	
M38	38 months	38 mois	38 Monate	Y	
M39	39 months	39 mois	39 Monate	Y	
M40	40 months	40 mois	40 Monate	Y	
M41	41 months	41 mois	41 Monate	Y	
M42	42 months	42 mois	42 Monate	Y	
M43	43 months	43 mois	43 Monate	Y	
M44	44 months	44 mois	44 Monate	Y	
M45	45 months	45 mois	45 Monate	Y	
M46	46 months	46 mois	46 Monate	Y	
M47	47 months	47 mois	47 Monate	Y	
M48	48 months	48 mois	48 Monate	Y	
M_GE48	48 months or over	48 mois ou plus	48 Monate und mehr	Y	
M49	49 months	49 mois	49 Monate	Y	
M50	50 months	50 mois	50 Monate	Y	
M51	51 months	51 mois	51 Monate	Y	
M52	52 months	52 mois	52 Monate	Y	
M53	53 months	53 mois	53 Monate	Y	
M54	54 months	54 mois	54 Monate	Y	
M55	55 months	55 mois	55 Monate	Y	
M56	56 months	56 mois	56 Monate	Y	
M57	57 months	57 mois	57 Monate	Y	
M58	58 months	58 mois	58 Monate	Y	
M59	59 months	59 mois	59 Monate	Y	
M60	60 months	60 mois	60 Monate	Y	
M_GE60	60 months or over	60 mois ou plus	60 Monate und mehr	Y	
M61	61 months	61 mois	61 Monate	Y	
M62	62 months	62 mois	62 Monate	Y	
M63	63 months	63 mois	63 Monate	Y	
M64	64 months	64 mois	64 Monate	Y	
M65	65 months	65 mois	65 Monate	Y	
M66	66 months	66 mois	66 Monate	Y	
M67	67 months	67 mois	67 Monate	Y	
M68	68 months	68 mois	68 Monate	Y	
M69	69 months	69 mois	69 Monate	Y	
M70	70 months	70 mois	70 Monate	Y	
M71	71 months	71 mois	71 Monate	Y	
M72	72 months	72 mois	72 Monate	Y	
M73	73 months	73 mois	73 Monate	Y	
M74	74 months	74 mois	74 Monate	Y	
M75	75 months	75 mois	75 Monate	Y	
M76	76 months	76 mois	76 Monate	Y	
M77	77 months	77 mois	77 Monate	Y	
M78	78 months	78 mois	78 Monate	Y	
M79	79 months	79 mois	79 Monate	Y	
M80	80 months	80 mois	80 Monate	Y	
M81	81 months	81 mois	81 Monate	Y	
M82	82 months	82 mois	82 Monate	Y	
M83	83 months	83 mois	83 Monate	Y	
M84	84 months	84 mois	84 Monate	Y	
M85	85 months	85 mois	85 Monate	Y	
M86	86 months	86 mois	86 Monate	Y	
M87	87 months	87 mois	87 Monate	Y	
M88	88 months	88 mois	88 Monate	Y	
M89	89 months	89 mois	89 Monate	Y	
M90	90 months	90 mois	90 Monate	Y	
M91	91 months	91 mois	91 Monate	Y	
M92	92 months	92 mois	92 Monate	Y	
M93	93 months	93 mois	93 Monate	Y	
M94	94 months	94 mois	94 Monate	Y	
M95	95 months	95 mois	95 Monate	Y	
M96	96 months	96 mois	96 Monate	Y	
M97	97 months	97 mois	97 Monate	Y	
M98	98 months	98 mois	98 Monate	Y	
M99	99 months	99 mois	99 Monate	Y	
M100	100 months	100 mois	100 Monate	Y	
M101	101 months	101 mois	101 Monate	Y	
M102	102 months	102 mois	102 Monate	Y	
M103	103 months	103 mois	103 Monate	Y	
M104	104 months	104 mois	104 Monate	Y	
M105	105 months	105 mois	105 Monate	Y	
M106	106 months	106 mois	106 Monate	Y	
M107	107 months	107 mois	107 Monate	Y	
M108	108 months	108 mois	108 Monate	Y	
M109	109 months	109 mois	109 Monate	Y	
M110	110 months	110 mois	110 Monate	Y	
M111	111 months	111 mois	111 Monate	Y	
M112	112 months	112 mois	112 Monate	Y	
M113	113 months	113 mois	113 Monate	Y	
M114	114 months	114 mois	114 Monate	Y	
M115	115 months	115 mois	115 Monate	Y	
M116	116 months	116 mois	116 Monate	Y	
M117	117 months	117 mois	117 Monate	Y	
M118	118 months	118 mois	118 Monate	Y	
M119	119 months	119 mois	119 Monate	Y	
Y0-14	From 0 to 14 years	De 0 à 14 ans	0 bis 14 Jahre	Y	
Y0-17	From 0 to 17 years	De 0 à 17 ans	0 bis 17 Jahre	Y	
Y0-29	From 0 to 29 years	De 0 à 29 ans	0 bis 29 Jahre	Y	
Y_LT1	Less than 1 year	Moins de 1 an	Weniger als 1 Jahr	Y	
Y1	1 year	1 an	1 Jahr	Y	
Y1-2	From 1 to 2 years	De 1 à 2 ans	1 bis 2 Jahre	Y	
Y_GT1-2	From more than 1 to 2 years	De plus de 1 à 2 ans	Von mehr als 1 bis 2 Jahre	Y	
Y1-3	From 1 to 3 years	De 1 à 3 ans	1 bis 3 Jahre	Y	
Y1-4	From 1 to 4 years	De 1 à 4 ans	1 bis 4 Jahre	Y	
Y1-5	From 1 to 5 years	De 1 à 5 ans	1 bis 5 Jahre	Y	
Y1-9	From 1 to 9 years	De 1 à 9 ans	1 bis 9 Jahre	Y	
Y1-14	From 1 to 14 years	De 1 à 14 ans	1 bis 14 Jahre	Y	
Y1-15	From 1 to 15 years	De 1 à 15 ans	1 bis 15 Jahre	Y	
Y_GE1	1 year or over	1 an ou plus	1 Jahr und mehr	Y	
Y_LT2	Less than 2 years	Moins de 2 ans	Weniger als 2 Jahre	Y	
Y2	2 years	2 ans	2 Jahre	Y	
Y2-3	From 2 to 3 years	De 2 à 3 ans	2 bis 3 Jahre	Y	
Y_GT2-3	From more than 2 to 3 years	De plus de 2 à 3 ans	Von mehr als 2 bis 3 Jahre	Y	
Y2-4	From 2 to 4 years	De 2 à 4 ans	2 bis 4 Jahre	Y	
Y2-5	From 2 to 5 years	De 2 à 5 ans	2 bis 5 Jahre	Y	
Y_GE2	2 years or over	2 ans ou plus	2 Jahre und mehr	Y	
Y_LT3	Less than 3 years	Moins de 3 ans	Weniger als 3 Jahre	Y	
Y_LE3	3 years or less	3 ans ou moins	3 Jahre und weniger	Y	
Y3	3 years	3 ans	3 Jahre	Y	
Y3-CSA	From 3 years to minimum compulsory school age	De 3 ans à l'âge minimal de scolarisation obligatoire	3 Jahre bis schulpflichtigem Mindestalter	Y	
Y3-4	From 3 to 4 years	De 3 à 4 ans	3 bis 4 Jahre	Y	
Y3-5	From 3 to 5 years	De 3 à 5 ans	3 bis 5 Jahre	Y	
Y_GT3-5	From more than 3 to 5 years	De plus de 3 à 5 ans	Von mehr als 3 bis 5 Jahre	Y	
Y3-9	From 3 to 9 years	De 3 à 9 ans	3 bis 9 Jahre	Y	
Y_GE3	3 years or over	3 ans ou plus	3 Jahre und mehr	Y	
Y_GT3	Over 3 years	Plus de 3 ans	Mehr als 3 Jahre	Y	
Y_LT4	Less than 4 years	Moins de 4 ans	Weniger als 4 Jahre	Y	
Y_LE4	4 years or less	4 ans ou moins	4 Jahre und weniger	Y	
Y4	4 years	4 ans	4 Jahre	Y	
Y4-5	From 4 to 5 years	De 4 à 5 ans	4 bis 5 Jahre	Y	
Y_GT4	Over 4 years	Plus de 4 ans	Mehr als 4 Jahre	Y	
Y_LT5	Less than 5 years	Moins de 5 ans	Weniger als 5 Jahre	Y	
Y_LE5	5 years or less	5 ans ou moins	5 Jahre und weniger	Y	
Y5	5 years	5 ans	5 Jahre	Y	
Y5-9	From 5 to 9 years	De 5 à 9 ans	5 bis 9 Jahre	Y	
Y5-10	From 5 to 10 years	De 5 à 10 ans	5 bis 10 Jahre	Y	
Y5-11	From 5 to 11 years	De 5 à 11 ans	5 bis 11 Jahre	Y	
Y5-12	From 5 to 12 years	De 5 à 12 ans	5 bis 12 Jahre	Y	
Y5-14	From 5 to 14 years	De 5 à 14 ans	5 bis 14 Jahre	Y	
Y5-29	From 5 to 29 years	De 5 à 29 ans	5 bis 29 Jahre	Y	
Y_GE5	5 years or over	5 ans ou plus	5 Jahre und mehr	Y	
Y_GT5	Over 5 years	Plus de 5 ans	Mehr als 5 Jahre	Y	
CSA-Y12	From minimum compulsory school age to 12 years	De l'âge minimal de scolarisation obligatoire à 12 ans	Schulpflichtigem Mindestalter bis 12 Jahre	Y	
CSA1-Y12	From one year after compulsory school age to 12 years	D’un an après l'âge de scolarisation obligatoire à 12 ans	Ab einem Jahr nach dem Schulpflichtigem Mindestalter bis 12 Jahre	Y	
Y_LT6	Less than 6 years	Moins de 6 ans	Weniger als 6 Jahre	Y	
Y6	6 years	6 ans	6 Jahre	Y	
Y6-7	From 6 to 7 years	De 6 à 7 ans	6 bis 7 Jahre	Y	
Y6-9	From 6 to 9 years	De 6 à 9 ans	6 bis 9 Jahre	Y	
Y6-10	From 6 to 10 years	De 6 à 10 ans	6 bis 10 Jahre	Y	
Y6-11	From 6 to 11 years	De 6 à 11 ans	6 bis 11 Jahre	Y	
Y6-12	From 6 to 12 years	De 6 à 12 ans	6 bis 12 Jahre	Y	
Y7	7 years	7 ans	7 Jahre	Y	
Y7-12	From 7 to 12 years	De 7 à 12 ans	7 bis 12 Jahre	Y	
Y8	8 years	8 ans	8 Jahre	Y	
Y8-9	From 8 to 9 years	De 8 à 9 ans	8 bis 9 Jahre	Y	
Y9	9 years	9 ans	9 Jahre	Y	
Y_LT10	Less than 10 years	Moins de 10 ans	Weniger als 10 Jahre	Y	
Y10	10 years	10 ans	10 Jahre	Y	
Y10-11	From 10 to 11 years	De 10 à 11 ans	10 bis 11 Jahre	Y	
Y10-14	From 10 to 14 years	De 10 à 14 ans	10 bis 14 Jahre	Y	
Y10-15	From 10 to 15 years	De 10 à 15 ans	10 bis 15 Jahre	Y	
Y10-19	From 10 to 19 years	De 10 à 19 ans	10 bis 19 Jahre	Y	
Y10-20	From 10 to 20 years	De 10 à 20 ans	10 bis 20 Jahre	Y	
Y10-29	From 10 to 29 years	De 10 à 29 ans	10 bis 29 Jahre	Y	
Y_GE10	10 years or over	10 ans ou plus	10 Jahre und mehr	Y	
Y_GT10	Over 10 years	Plus de 10 ans	Mehr als 10 Jahre	Y	
Y_LT11	Less than 11 years	Moins de 11 ans	Weniger als 11 Jahre	Y	
Y11	11 years	11 ans	11 Jahre	Y	
Y11-15	From 11 to 15 years	De 11 à 15 ans	11 bis 15 Jahre	Y	
Y_LE12	12 years or less	12 ans ou moins	12 Jahre und weniger	Y	
Y12	12 years	12 ans	12 Jahre	Y	
Y12-13	From 12 to 13 years	De 12 à 13 ans	12 bis 13 Jahre	Y	
Y12-15	From 12 to 15 years	De 12 à 15 ans	12 bis 15 Jahre	Y	
Y12-16	From 12 to 16 years	De 12 à 16 ans	12 bis 16 Jahre	Y	
Y12-17	From 12 to 17 years	De 12 à 17 ans	12 bis 17 Jahre	Y	
Y12-49	From 12 to 49 years	De 12 à 49 ans	12 bis 49 Jahre	Y	
Y_GE12	12 years or over	12 ans ou plus	12 Jahre und mehr	Y	
Y13	13 years	13 ans	13 Jahre	Y	
Y13-16	From 13 to 16 years	De 13 à 16 ans	13 bis 16 Jahre	Y	
Y13-18	From 13 to 18 years	De 13 à 18 ans	13 bis 18 Jahre	Y	
Y_LT14	Less than 14 years	Moins de 14 ans	Weniger als 14 Jahre	Y	
